,-1,0,1
"(1, 1)",18,0,2402
"(1, 2)",0,0,315
"(1, 3)",0,0,450
"(1, 4)",0,0,493
"(1, 5)",0,0,374
"(1, 6)",0,0,401
"(1, 7)",0,0,1864
"(1, 8)",0,0,3661
"(1, 9)",0,0,3333
"(1, 10)",0,0,3124
"(1, 11)",0,0,2862
"(1, 12)",0,0,2819
"(1, 13)",0,0,2593
"(1, 14)",0,0,2356
"(1, 15)",0,0,2034
"(1, 16)",0,1036,0
"(1, 17)",0,212,0
"(1, 18)",0,242,0
"(1, 19)",0,217,0
"(1, 20)",197,0,0
"(1, 21)",102,0,0
"(1, 22)",86,0,0
"(0, 1)",0,0,0
"(0, 2)",0,0,0
"(0, 3)",0,0,0
"(0, 4)",0,0,0
"(0, 5)",0,0,0
"(0, 6)",0,0,0
"(0, 7)",0,0,0
"(0, 8)",0,0,0
"(0, 9)",0,0,0
"(0, 10)",0,0,0
"(0, 11)",0,0,0
"(0, 12)",0,0,0
"(0, 13)",0,0,0
"(0, 14)",0,0,0
"(0, 15)",0,0,0
"(0, 16)",0,0,0
"(0, 17)",0,0,0
"(0, 18)",0,0,0
"(0, 19)",0,0,0
"(0, 20)",0,0,0
"(0, 21)",0,0,0
"(0, 22)",0,0,0
"(-1, 1)",0,0,30
"(-1, 2)",0,0,51
"(-1, 3)",0,0,79
"(-1, 4)",0,96,0
"(-1, 5)",0,73,0
"(-1, 6)",0,74,0
"(-1, 7)",378,0,0
"(-1, 8)",757,0,0
"(-1, 9)",715,0,0
"(-1, 10)",859,0,0
"(-1, 11)",807,0,0
"(-1, 12)",915,0,0
"(-1, 13)",933,0,0
"(-1, 14)",1047,0,0
"(-1, 15)",1168,0,0
"(-1, 16)",572,0,0
"(-1, 17)",108,0,0
"(-1, 18)",110,0,0
"(-1, 19)",127,0,0
"(-1, 20)",131,0,0
"(-1, 21)",98,0,0
"(-1, 22)",106,0,0
