,-1,0,1
0,450,450,14219
1,450,450,13914
2,450,450,18617
3,450,450,18637
4,450,450,18798
5,450,450,18470
6,450,450,28082
7,450,450,30602
8,450,450,30557
9,450,450,30605
10,450,450,30618
11,450,450,30771
12,450,450,31350
13,450,450,31807
14,450,450,32590
15,450,1615,29004
16,450,1510,17252
17,450,2183,17113
18,450,2078,17092
19,728,1236,18040
20,583,21677,450
21,8649,7890,450
22,450,450,450
23,450,450,450
24,450,450,450
25,450,450,450
26,450,450,450
27,450,450,450
28,450,450,450
29,450,450,450
30,450,450,450
31,450,450,450
32,450,450,450
33,450,450,450
34,450,450,450
35,450,450,450
36,450,450,450
37,450,450,450
38,450,450,450
39,450,450,450
40,450,450,450
41,450,450,450
42,450,450,450
43,450,450,450
44,450,5194,12438
45,4480,13852,565
46,16461,1584,687
47,16230,2901,450
48,16901,1241,450
49,17277,692,450
50,26510,1696,450
51,29801,450,450
52,28900,450,450
53,28607,450,450
54,28251,450,450
55,28055,450,450
56,28016,450,450
57,27807,450,450
58,27977,450,450
59,25514,450,450
60,17411,450,450
61,17019,450,450
62,17108,450,450
63,17836,450,450
64,12874,450,450
65,13599,450,450
