trade_date,FW_label
20241101_090000_409156356,0.42331672
20241101_090000_669603331,1.1513692
20241101_090000_918797235,-0.63055056
20241101_090001_157568022,-0.33424738
20241101_090001_407931179,-1.89495
20241101_090001_656915083,0.66184646
20241101_090001_900254751,-0.521552
20241101_090002_158946802,0.1281573
20241101_090002_424969516,-0.07820886
20241101_090002_667983773,-0.0652666
20241101_090002_895031651,-0.7247117
20241101_090003_149162159,0.83944446
20241101_090003_401512328,0.7791936
20241101_090003_650972279,-0.86244994
20241101_090003_899243489,0.32243964
20241101_090004_159093815,-0.43542746
20241101_090004_410000030,1.682298
20241101_090004_658188443,-0.44779173
20241101_090004_891160749,0.10222434
20241101_090005_147051334,0.107007034
20241101_090005_402101542,1.3426552
20241101_090005_656487526,1.4047344
20241101_090005_900771237,0.6196823
20241101_090006_158118300,-0.21609482
20241101_090006_404906558,0.025396729
20241101_090006_659578203,-0.43565017
20241101_090006_902301825,-0.5212167
20241101_090007_149598566,-0.901042
20241101_090007_399486594,-0.7894288
20241101_090007_654310163,-0.01834805
20241101_090007_894801134,0.86282086
20241101_090008_143640240,0.6620566
20241101_090008_391553621,-0.10525646
20241101_090008_647970542,-1.3807598
20241101_090008_891460978,-0.2143631
20241101_090009_140128328,-0.15137167
20241101_090009_397197981,-1.1426698
20241101_090009_651521149,-0.10517245
20241101_090009_892455100,0.98957056
20241101_090010_141622200,0.46939483
20241101_090010_393442272,-1.3466069
20241101_090010_650602721,-0.8203374
20241101_090010_890939147,0.47957614
20241101_090011_146426724,0.7689411
20241101_090011_395380563,-0.23067524
20241101_090011_649649690,-0.052426375
20241101_090011_891206066,1.7703413
20241101_090012_145752140,-0.2904583
20241101_090012_396302832,-0.63366604
20241101_090012_658494836,-0.05285819
20241101_090012_890701222,-0.6697524
20241101_090013_143212317,0.7799065
20241101_090013_393733935,-0.28893855
20241101_090013_643093333,-1.7316276
20241101_090013_896481628,0.22160314
20241101_090014_143819393,0.7572428
20241101_090014_397001263,1.3370293
20241101_090014_652020564,-0.13168074
20241101_090014_906262157,-0.035713226
20241101_090015_148746605,-0.11642646
20241101_090015_393836361,-1.3931886
20241101_090015_653669532,0.97430605
20241101_090015_898974264,0.16872536
20241101_090016_146564604,-0.56503063
20241101_090016_396297999,-0.61237764
20241101_090016_651707365,0.3100745
20241101_090016_894808039,1.3500766
20241101_090017_151640778,1.0481397
20241101_090017_388428051,-0.23386253
20241101_090017_646397476,-1.7725273
20241101_090017_888035042,0.37553376
20241101_090018_148546910,1.7173012
20241101_090018_391197401,2.293544
20241101_090018_648165355,-0.105331704
20241101_090018_889039145,-0.31177974
20241101_090019_145588589,-1.0498798
20241101_090019_390739909,0.70778114
20241101_090019_649334555,0.45943794
20241101_090019_892317931,1.0338677
20241101_090020_152546188,-0.85523367
20241101_090020_394050981,0.15201749
20241101_090020_651330568,0.15720697
20241101_090020_893258729,0.19812389
20241101_090021_149582776,-0.9082211
20241101_090021_390732497,0.12296968
20241101_090021_650695378,-0.94767016
20241101_090021_896700686,-3.1235447
20241101_090022_151229344,-1.0296602
20241101_090022_394296600,-0.01815339
20241101_090022_652281989,-0.068905935
20241101_090022_896459297,-0.17982443
20241101_090023_145061658,0.03782244
20241101_090023_391504097,-0.62131363
20241101_090023_645218836,-0.84982437
20241101_090023_899255215,-0.54771817
20241101_090024_143376572,-0.42880592
20241101_090024_390606498,-0.19924203
20241101_090024_652458654,-0.61387473
20241101_090024_890356828,0.25608096
20241101_090025_145376790,-0.027623674
20241101_090025_397543437,-0.1208336
20241101_090025_645842441,-0.00865837
20241101_090025_890693135,-0.23450361
20241101_090026_137521851,0.085226946
20241101_090026_394750686,0.27169174
20241101_090026_648263020,0.6279078
20241101_090026_902190153,0.43512058
20241101_090027_145466259,0.3260684
20241101_090027_387877238,-0.119686745
20241101_090027_643941748,-0.2914888
20241101_090027_894978425,0.22456051
20241101_090028_142258392,0.4890612
20241101_090028_384439191,0.49796924
20241101_090028_650084044,1.8511733
20241101_090028_884472854,1.3010459
20241101_090029_139215952,0.37878418
20241101_090029_386139619,0.22226475
20241101_090029_655423655,0.67805076
20241101_090029_886724503,0.76412374
20241101_090030_153664917,-0.45765543
20241101_090030_393173664,-0.75415003
20241101_090030_655105784,0.30965793
20241101_090030_890777182,-0.4901177
20241101_090031_145086595,-1.7484783
