trade_date,FW_label
20241104_133000_158773941,1.903836
20241104_133000_414447565,-0.022986254
20241104_133000_662123354,0.31762725
20241104_133000_908698433,-2.1721227
20241104_133001_148939134,0.47729453
20241104_133001_394813475,-0.71611565
20241104_133001_649202233,3.2223077
20241104_133001_892220531,0.1234336
20241104_133002_142903495,-1.1191301
20241104_133002_396918122,-0.46023983
20241104_133002_647878874,-1.3609451
20241104_133002_897913098,-0.19039129
20241104_133003_139435046,-0.19266476
20241104_133003_395054593,-0.10098704
20241104_133003_636174982,-1.3766499
20241104_133003_890272409,-2.2630677
20241104_133004_140696190,-0.8697662
20241104_133004_396824362,-0.80377316
20241104_133004_635887799,-1.260167
20241104_133004_888629205,-0.1815113
20241104_133005_139229198,-0.21349375
20241104_133005_388618868,-1.6903982
20241104_133005_635116726,-0.52376777
20241104_133005_894616084,-0.029836139
20241104_133006_136872400,1.4359444
20241104_133006_378636586,0.6847628
20241104_133006_625761127,-0.21668708
20241104_133006_881230487,0.021742472
20241104_133007_134486386,1.0806243
20241104_133007_396881035,0.79749036
20241104_133007_633539501,-1.570125
20241104_133007_888685704,-3.8841746
20241104_133008_135790690,-2.4031196
20241104_133008_386861462,-0.92087656
20241104_133008_650813059,0.60712755
20241104_133008_883398290,0.7780612
20241104_133009_130205183,-0.16670288
20241104_133009_383459404,-0.35295257
20241104_133009_640726313,-0.74505883
20241104_133009_896867574,0.41346285
20241104_133010_129580184,-0.5479656
20241104_133010_386243524,-0.6697818
20241104_133010_630824196,-0.5410607
20241104_133010_879504770,0.38489723
20241104_133011_127740025,0.23234226
20241104_133011_390506638,-0.027883442
20241104_133011_633883519,0.84984154
20241104_133011_877241371,0.47425643
20241104_133012_126663697,-0.019377341
20241104_133012_378531489,0.40902323
20241104_133012_629036251,-0.87352586
20241104_133012_883287789,-0.022368511
20241104_133013_133919140,-0.5640574
20241104_133013_376774841,-0.586618
20241104_133013_624125577,-0.34279558
20241104_133013_880474681,-0.34780133
20241104_133014_128533081,-0.25399485
20241104_133014_386813511,-0.29017058
20241104_133014_626491549,0.023161003
20241104_133014_877834186,-0.22621556
20241104_133015_124559026,-1.3112026
