trade_date,FW_label
20241105_210000_355913487,-1.7512035
20241105_210000_506999369,-0.5335983
20241105_210000_724748068,0.53047556
20241105_210000_963627461,-0.98526555
20241105_210001_211452069,-2.9712348
20241105_210001_453515149,-0.42771375
20241105_210001_697420019,-1.4260746
20241105_210001_939995955,-0.313718
20241105_210002_196261486,-0.5027916
20241105_210002_454839730,-0.5308287
20241105_210002_692891685,-1.0806617
20241105_210002_940681614,-0.016448399
20241105_210003_194159332,0.09799526
20241105_210003_442909630,0.46120992
20241105_210003_689495442,-0.40146893
20241105_210003_946634670,0.23661353
20241105_210004_191736409,-1.4725138
20241105_210004_445882610,0.32903194
20241105_210004_690361033,1.1558754
20241105_210004_941079219,-0.37690064
20241105_210005_196760183,0.052867174
20241105_210005_451718731,-1.1295497
20241105_210005_704362182,0.09985303
20241105_210005_943247339,-0.556987
20241105_210006_195225091,-0.42294088
20241105_210006_447478037,0.040276267
20241105_210006_696396382,1.0621973
20241105_210006_942008927,1.6813852
20241105_210007_194973526,-0.25894615
20241105_210007_447783667,-1.4072574
20241105_210007_687302820,0.9220883
20241105_210007_946708495,0.074770845
20241105_210008_189894055,-0.11387464
20241105_210008_447302587,-0.4874833
20241105_210008_685625382,0.6108344
20241105_210008_934889362,1.1040825
20241105_210009_184719304,1.7651328
20241105_210009_447819879,-1.2301782
20241105_210009_689026967,-0.36781406
20241105_210009_938297362,-0.2727893
20241105_210010_190554344,0.21326284
20241105_210010_445332305,-0.55277973
20241105_210010_689240928,0.2599645
20241105_210010_932971575,0.28287646
20241105_210011_186827588,-0.48656544
20241105_210011_438878486,-0.32403153
20241105_210011_685888039,0.38319892
20241105_210011_933698781,-0.70877004
20241105_210012_184834964,-0.94453216
20241105_210012_437016563,0.602934
20241105_210012_690963748,0.41176575
20241105_210012_935795457,0.53539664
20241105_210013_185343545,-0.017386867
20241105_210013_445563554,-0.46793854
20241105_210013_686418311,-0.020383378
20241105_210013_936673505,0.0011715088
20241105_210014_183871693,0.08776305
20241105_210014_437374889,-0.32576248
20241105_210014_685065167,-0.041276656
20241105_210014_937222943,-0.049856387
20241105_210015_184945007,0.65027046
20241105_210015_438783155,2.0919137
20241105_210015_684348081,-1.1812456
20241105_210015_933250429,-0.51732427
20241105_210016_186790252,-0.00053536706
20241105_210016_435865842,-0.1608117
20241105_210016_692231916,-0.3818208
20241105_210016_937424685,0.6090912
20241105_210017_189618923,0.6773234
20241105_210017_445388134,0.9918185
20241105_210017_689664047,-1.0163305
20241105_210017_937612093,-0.23724812
20241105_210018_191740382,-0.458139
20241105_210018_442410180,-0.82268894
20241105_210018_686648848,-0.1897958
20241105_210018_937256434,-0.16755037
20241105_210019_187534530,-0.32435855
20241105_210019_447723423,-0.9111053
20241105_210019_684675457,0.48796418
20241105_210019_939041828,0.45987496
20241105_210020_187001988,0.94349045
20241105_210020_442345604,1.3821268
20241105_210020_690201216,0.8670304
20241105_210020_942249305,-0.5644298
20241105_210021_186407819,-1.2865309
20241105_210021_444297031,-0.23007242
20241105_210021_686737987,-0.53419435
20241105_210021_937324823,-1.7761761
20241105_210022_183998377,0.41130057
20241105_210022_446420850,-0.4286268
20241105_210022_688109190,-0.12402936
20241105_210022_940859885,-0.1730227
20241105_210023_186563062,-0.30990502
20241105_210023_446561305,-1.4021007
20241105_210023_687196377,0.50751776
20241105_210023_939927538,0.78157246
20241105_210024_190444310,1.0416193
20241105_210024_439219079,0.4447694
20241105_210024_687585398,1.0999504
20241105_210024_936919874,-0.14028938
20241105_210025_186198399,-0.97662944
20241105_210025_439562127,0.38009825
20241105_210025_687778950,0.5907636
20241105_210025_936413038,1.1388891
20241105_210026_187023098,0.36621806
20241105_210026_437772452,0.14042382
20241105_210026_936963680,-0.6835155
20241105_210027_208825777,-0.5801388
20241105_210027_444636070,0.37260234
20241105_210027_681072606,0.75247055
20241105_210027_934938430,0.3131188
20241105_210028_183834745,-0.9165146
20241105_210028_439650921,-0.68187016
20241105_210028_691145399,-0.34570372
20241105_210028_941244126,-0.46042067
20241105_210029_184577676,0.3792666
20241105_210029_439954816,0.08356258
20241105_210029_688476475,-0.29528627
20241105_210029_937697413,-0.6033539
20241105_210030_183113857,0.641639
20241105_210030_446871352,-0.9527364
20241105_210030_686700025,-0.32242754
20241105_210030_943561369,-0.30201533
20241105_210031_191282791,-0.045273386
20241105_210031_448235789,-0.003813943
20241105_210031_692190798,0.15834765
20241105_210031_943149960,-0.23410608
20241105_210032_193512965,0.12655199
20241105_210032_449670110,-0.62237024
20241105_210032_701165465,0.3719482
20241105_210032_943611266,-0.19907196
20241105_210033_190782610,-0.6932168
20241105_210033_445624067,-0.6514209
20241105_210033_694592986,-0.5496275
20241105_210033_941173173,-0.90162146
20241105_210034_196277886,0.8060494
20241105_210034_451518765,0.32518992
20241105_210034_691694458,0.19609712
20241105_210034_940673564,0.25455567
20241105_210035_191777026,0.14714585
20241105_210035_448682032,0.5162346
20241105_210035_689874481,0.336285
20241105_210035_942050953,0.40828335
20241105_210036_189737054,0.82219046
20241105_210036_444414144,0.77363163
20241105_210036_690201804,1.3871369
20241105_210036_943293018,-0.32564744
20241105_210037_187761157,1.5621027
20241105_210037_443508576,1.4080552
20241105_210037_687107782,0.4333555
20241105_210037_940191010,-0.0043276846
20241105_210038_188044141,-1.0485871
20241105_210038_445870355,0.3101388
20241105_210038_701685089,0.012910606
20241105_210038_951266607,0.95532936
20241105_210039_190608519,0.57375604
20241105_210039_454960552,0.6668251
20241105_210039_694577089,1.3814114
20241105_210039_947178266,0.4066467
20241105_210040_192240650,0.17415522
20241105_210040_448432280,0.27422544
20241105_210040_694762095,-0.30621758
20241105_210040_945568554,-0.052738033
20241105_210041_195715058,-0.33343956
20241105_210041_452631929,-0.4054776
20241105_210041_695176190,-0.35503608
20241105_210041_939071576,-0.22737838
20241105_210042_188858300,-0.19000964
20241105_210042_439659143,0.20036621
20241105_210042_690662245,0.66877
20241105_210042_938096561,0.48058048
20241105_210043_201448716,0.1271296
20241105_210043_440613887,0.17728205
20241105_210043_692043279,0.18056636
20241105_210043_937947173,0.20951645
20241105_210044_186368367,0.14268626
20241105_210044_441650669,-0.28878516
20241105_210044_687251101,-0.28453135
20241105_210044_935856883,-0.44078645
20241105_210045_184821333,-2.1549087
20241105_210045_438301452,0.3595625
20241105_210045_681540484,0.38777283
20241105_210045_937158447,0.1652915
20241105_210046_188716757,-0.089680575
20241105_210046_437341134,0.34683233
20241105_210046_691029740,-0.03484244
20241105_210046_945683925,0.24288283
20241105_210047_187537510,-0.16845496
20241105_210047_454356296,-0.48860034
20241105_210047_684810026,-0.62622154
20241105_210047_938337515,-0.16659103
20241105_210048_189620919,-0.7326311
20241105_210048_441144799,-0.042126082
20241105_210048_688463363,0.64503247
20241105_210048_940052332,-0.097666465
20241105_210049_187898747,-0.25630388
20241105_210049_443088354,0.4269354
20241105_210049_683896328,0.671665
20241105_210049_936609242,0.8040865
20241105_210050_188599722,1.0622756
20241105_210050_448284708,-0.114630334
20241105_210050_687842415,-0.26980183
20241105_210050_938308494,-0.00090440176
20241105_210051_186000307,-0.4057718
20241105_210051_453572656,0.14646052
20241105_210051_691815666,0.060631283
20241105_210051_944328902,0.031822063
20241105_210052_197048670,-0.7803596
20241105_210052_456380863,-0.16747062
20241105_210052_690119140,-0.44280878
20241105_210052_948123241,-1.4524481
20241105_210053_191105023,-0.28338048
20241105_210053_458579111,-0.80713254
20241105_210053_689993954,-0.33876747
20241105_210053_942681416,-1.8619906
20241105_210054_195043228,0.31105253
20241105_210054_454799454,0.88295233
20241105_210054_693152988,-0.13124098
20241105_210054_950705221,-0.21704556
20241105_210055_184385980,-0.007043978
20241105_210055_447798113,-0.111167036
20241105_210055_703276217,-0.5156743
20241105_210055_942282857,-1.0443288
20241105_210056_186950345,-0.61185664
20241105_210056_455514230,-0.15972163
20241105_210056_704663072,-0.15565468
20241105_210056_943835778,0.019978391
20241105_210057_191888910,-0.16258426
20241105_210057_460858823,-0.061987124
20241105_210057_689451038,-0.06859281
20241105_210057_943283574,-0.064874314
20241105_210058_200673620,-0.039420985
20241105_210058_458003192,-0.29931793
20241105_210058_695868106,-0.45088214
20241105_210058_951727034,-0.35301706
20241105_210059_196149504,-1.6917764
20241105_210059_461021931,0.49115577
20241105_210059_697654611,1.4680319
20241105_210059_942350921,0.4865059
20241105_210100_200022131,0.8334392
20241105_210100_463547448,2.4914343
20241105_210100_705622943,-0.021887025
20241105_210100_964187865,0.47790137
20241105_210101_212711506,-0.29240564
20241105_210101_470833516,-0.16838977
20241105_210101_715925317,0.13750118
20241105_210101_963037667,0.0070815515
20241105_210102_202174333,-0.13210113
20241105_210102_457186938,-2.5889287
20241105_210102_701994707,-3.0832345
20241105_210102_952967353,0.15544544
20241105_210103_202406212,-0.95604557
20241105_210103_458469317,0.05987207
20241105_210103_699480375,-0.3050789
20241105_210103_948235908,-0.6413147
20241105_210104_194455100,0.9200043
20241105_210104_465964286,1.8982906
20241105_210104_698385493,-0.36012816
20241105_210104_946382447,0.39865226
20241105_210105_197354047,0.098082796
20241105_210105_456667593,0.012628296
20241105_210105_694291595,-0.38355058
20241105_210105_946119620,-0.07578113
20241105_210106_193370087,-0.06697305
20241105_210106_446863504,-0.12030717
20241105_210106_694949127,-0.40534353
20241105_210106_942987313,0.25503728
20241105_210107_192526853,-0.049691938
20241105_210107_446075338,0.30056122
20241105_210107_707019841,0.102298655
20241105_210107_954393630,0.08187298
20241105_210108_199480074,0.48725453
20241105_210108_456564698,-0.11876156
20241105_210108_701256189,0.107701726
20241105_210108_944234928,0.013712699
20241105_210109_193619812,-0.2999181
20241105_210109_441122317,-0.5344474
20241105_210109_689430878,-0.49889967
20241105_210109_937489961,0.62801033
20241105_210110_192974205,1.1228522
20241105_210110_436054378,-0.0080568995
20241105_210110_690538762,0.08279321
20241105_210110_940887580,0.0054640565
20241105_210111_189728098,-0.2642584
20241105_210111_448832078,-0.05476751
20241105_210111_684386056,0.28967395
20241105_210111_939819123,0.2471969
20241105_210112_188353192,-0.4107596
20241105_210112_445510005,-0.1149983
20241105_210112_687011739,0.26294622
20241105_210112_940111084,0.15729292
20241105_210113_191196104,0.6441801
20241105_210113_449503675,0.39895788
20241105_210113_689691060,-0.07524123
20241105_210113_939155186,0.016249845
20241105_210114_188147374,-0.24650086
20241105_210114_443177754,-0.15719618
20241105_210114_693186621,0.33130023
20241105_210114_942400451,0.18315773
20241105_210115_190308471,-0.0513651
20241105_210115_444084902,0.18843776
20241105_210115_689836864,-0.071824335
20241105_210115_953173812,-0.46626487
20241105_210116_200070199,0.39285722
20241105_210116_451828727,0.47048417
20241105_210116_697945747,0.18780814
20241105_210116_948563857,-0.07821008
20241105_210117_205998501,0.21261595
20241105_210117_463739571,0.117898084
20241105_210117_700269806,0.007259289
20241105_210117_952505298,0.05689276
20241105_210118_208676875,0.5685265
20241105_210118_453847415,0.1311556
20241105_210118_704969156,-0.06663107
20241105_210118_939382006,-0.3548484
20241105_210119_188841497,-0.5058376
20241105_210119_441041542,-0.3788677
20241105_210119_693498166,-1.1858338
20241105_210119_937333686,-0.6963785
20241105_210120_193304176,-1.2284832
20241105_210120_446365020,0.18278901
20241105_210120_694343191,-1.0985975
20241105_210120_940509828,-0.5620007
20241105_210121_185259486,-2.0458813
20241105_210121_445926720,-0.17385508
20241105_210121_687958786,-0.097134225
20241105_210121_941253481,0.015283385
20241105_210122_186080708,-1.0427034
20241105_210122_447657026,0.035133876
20241105_210122_689032424,0.6760026
20241105_210122_941688353,2.2672174
20241105_210123_191211304,0.21712838
20241105_210123_457298586,0.42979917
20241105_210123_695578350,1.4668028
20241105_210123_954222717,-0.051752172
20241105_210124_198932296,-0.8894493
20241105_210124_457098379,0.7574102
20241105_210124_702496089,-0.14772613
20241105_210124_949016585,0.019228885
20241105_210125_193416941,0.42109302
20241105_210125_461455255,0.31928295
20241105_210125_713300137,0.34176657
20241105_210125_953718276,-0.02326878
20241105_210126_200970479,-0.44823936
20241105_210126_449855015,0.1484762
20241105_210126_699134947,-0.11972227
20241105_210126_945882116,-0.07147356
20241105_210127_203793954,-0.044387005
20241105_210127_455056521,-0.030484727
20241105_210127_692919865,0.63736457
20241105_210127_939827836,0.45471102
20241105_210128_193388302,0.09983913
20241105_210128_450206387,-0.3132529
20241105_210128_698935797,-0.15168832
20241105_210128_953004783,-0.0914078
20241105_210129_201815344,-0.5101553
20241105_210129_453024505,-0.081307314
20241105_210129_699824064,0.041535206
20241105_210129_947140140,0.07142831
20241105_210130_188987871,0.4498855
20241105_210130_451676600,0.12325338
20241105_210130_695939658,-0.11939224
20241105_210130_948324827,-0.31387725
20241105_210131_188686977,-1.1255096
20241105_210131_449287577,-0.28223667
20241105_210131_696748011,-0.04485535
20241105_210131_953250909,0.24366675
20241105_210132_189538852,0.5480827
20241105_210132_453929552,0.20938878
20241105_210132_694086724,0.07723198
20241105_210132_940631668,0.28981066
20241105_210133_182487570,0.2525632
20241105_210133_442736216,0.3498052
20241105_210133_690002198,0.12791996
20241105_210133_938786391,0.113091476
20241105_210134_185828732,-0.04975363
20241105_210134_448902664,0.0033749733
20241105_210134_683785874,0.1544934
20241105_210134_938142582,0.2103702
20241105_210135_187385143,0.20201488
20241105_210135_447884370,0.38644272
20241105_210135_691971982,0.30263835
20241105_210135_943205569,0.40700412
20241105_210136_184049196,0.358008
20241105_210136_443741253,0.4724661
20241105_210136_688626220,0.114929594
20241105_210136_941857859,0.9670054
20241105_210137_190379189,0.2048633
20241105_210137_441802640,0.11157731
20241105_210137_691749965,0.16287862
20241105_210137_935236854,0.2313387
20241105_210138_185546464,0.24589895
20241105_210138_444777488,0.5350775
20241105_210138_689010543,0.72734785
20241105_210138_939969861,0.11400045
20241105_210139_185105872,0.5773194
20241105_210139_440012931,0.85757285
20241105_210139_692444729,0.7820522
20241105_210139_938918185,0.21986513
20241105_210140_188202343,0.1541559
20241105_210140_446204838,0.1319689
20241105_210140_693420490,0.24731837
20241105_210140_938495056,0.3760886
20241105_210141_190233472,0.18849672
20241105_210141_456540128,0.5812804
20241105_210141_691407708,-0.7519034
20241105_210141_944833432,-0.6102315
20241105_210142_187226355,-0.67075425
20241105_210142_449701335,-2.3557255
20241105_210142_687047446,-1.0166177
20241105_210142_943461881,-0.4521698
20241105_210143_184391625,-0.051623784
20241105_210143_448864396,0.31331596
20241105_210143_693337124,0.43120703
20241105_210143_948467533,0.25316644
20241105_210144_196415044,-0.032653563
20241105_210144_453885292,-0.053471647
20241105_210144_695551191,-0.075603865
20241105_210144_946903912,-0.31372654
20241105_210145_189411521,-0.36997905
20241105_210145_452093840,-0.6033375
20241105_210145_685108867,-2.252296
20241105_210145_938566425,-0.07535087
20241105_210146_188486783,-0.31675488
20241105_210146_451963857,-0.40194854
20241105_210146_690046789,-0.6309014
20241105_210146_944776880,-2.0329804
20241105_210147_188289495,0.83972186
20241105_210147_438914260,1.4054637
20241105_210147_692505468,-0.2729541
20241105_210147_942893565,-0.5023693
20241105_210148_189038737,-0.5358299
20241105_210148_447381880,-0.48575
20241105_210148_687506341,-0.24132504
20241105_210148_936720287,-0.33091906
20241105_210149_190381324,-0.59452456
20241105_210149_441877450,0.14477898
20241105_210149_690438198,-0.111361206
20241105_210149_940302749,-0.21684702
20241105_210150_189441362,-0.06437453
20241105_210150_447469867,-0.061302684
20241105_210150_695878073,0.3880502
20241105_210150_939969915,-0.20637552
20241105_210151_184661705,-0.06986621
20241105_210151_453297266,0.25231898
20241105_210151_683840632,0.104574
20241105_210151_937298338,0.004565278
20241105_210152_183982144,-0.23359992
20241105_210152_444604280,-0.22020705
20241105_210152_697816396,-0.53872544
20241105_210152_951395249,-0.1405721
20241105_210153_196694058,-0.10633489
