,-1,0,1
"(1, 1)",17078314,17101878,63266823
"(1, 2)",9924759,9830663,55735626
"(1, 3)",11825728,11754374,80340967
"(1, 4)",8108363,8026534,77044004
"(1, 5)",5516695,5535668,72923577
"(1, 6)",3724471,3685740,71518354
"(1, 7)",11365046,11296676,148870478
"(1, 8)",15701578,15532164,176736763
"(1, 9)",12175562,12104247,175074371
"(1, 10)",9803084,9894957,174303827
"(1, 11)",8216501,8177378,173729942
"(1, 12)",6860154,6858122,172264637
"(1, 13)",5809728,5702832,174373905
"(1, 14)",4880513,4839656,176267530
"(1, 15)",4138350,4060682,178590150
"(1, 16)",1732313,20074730,132671470
"(1, 17)",294527,15111585,40345172
"(1, 18)",222865,29783684,29342994
"(1, 19)",170680,53629828,10699595
"(1, 20)",117065,71881731,108546
"(1, 21)",32436,35030231,29688
"(1, 22)",37260142,6662335,4537983
"(0, 1)",10659496,0,10539125
"(0, 2)",6182206,0,6096290
"(0, 3)",7335020,0,7291024
"(0, 4)",4985604,0,4942779
"(0, 5)",3425762,0,3433485
"(0, 6)",2294716,0,2244043
"(0, 7)",6991878,0,6910769
"(0, 8)",9588066,0,9461638
"(0, 9)",7415626,0,7368482
"(0, 10)",6067382,0,5961956
"(0, 11)",5037826,0,4980487
"(0, 12)",4202132,0,4143611
"(0, 13)",3530510,0,3459095
"(0, 14)",2970476,0,2933254
"(0, 15)",2457132,0,2457457
"(0, 16)",1038796,0,1022078
"(0, 17)",163354,0,163184
"(0, 18)",135480,0,128675
"(0, 19)",96398,0,98538
"(0, 20)",65100,0,64313
"(0, 21)",13790,0,15042
"(0, 22)",2777800,0,2736950
"(-1, 1)",6064914,258891283,5882894
"(-1, 2)",120808936,28342932,3268010
"(-1, 3)",178215888,8298111,3708277
"(-1, 4)",177329606,6890220,2395326
"(-1, 5)",177681326,2571978,1569571
"(-1, 6)",174472487,1982811,979650
"(-1, 7)",245001285,7456854,2709848
"(-1, 8)",265468246,3445559,3330759
"(-1, 9)",260907839,2435267,2323953
"(-1, 10)",257904559,1798740,1728782
"(-1, 11)",255373040,1390426,1311107
"(-1, 12)",252286796,1067373,990666
"(-1, 13)",250785719,828772,768284
"(-1, 14)",248710407,647008,592812
"(-1, 15)",247372254,517731,483021
"(-1, 16)",230243661,211627,225195
"(-1, 17)",167421571,38922,41665
"(-1, 18)",164903989,31401,32570
"(-1, 19)",166048611,22494,27290
"(-1, 20)",169412864,22643,33707
"(-1, 21)",127725805,1125,876
"(-1, 22)",130305975,81700,40850
