,-1,0,1
"(1, 1)",412902,407882,10372295
"(1, 2)",239671,234542,10329995
"(1, 3)",279521,274975,10582339
"(1, 4)",186126,196319,10556973
"(1, 5)",132637,122121,10517723
"(1, 6)",84647,85479,10504813
"(1, 7)",270513,257761,11374479
"(1, 8)",370358,372648,11688027
"(1, 9)",282596,286353,11638311
"(1, 10)",226043,240602,11614782
"(1, 11)",187000,188539,11600768
"(1, 12)",152867,153195,11586507
"(1, 13)",140240,135501,11626799
"(1, 14)",116940,115712,11649730
"(1, 15)",101568,96874,11649549
"(1, 16)",44212,1169086,10225158
"(1, 17)",10722,10397619,9618
"(1, 18)",7109,10413361,7923
"(1, 19)",7197,10425075,7110
"(1, 20)",4807,10465902,6480
"(1, 21)",3048,10088722,3180
"(1, 22)",2374389,8187415,117798
"(0, 1)",260736,2392686,625414
"(0, 2)",141074,2587490,141873
"(0, 3)",168260,2892239,169413
"(0, 4)",117820,2667481,116879
"(0, 5)",79344,2449002,84757
"(0, 6)",56576,2250616,54880
"(0, 7)",158172,2607191,154975
"(0, 8)",228558,2411640,223746
"(0, 9)",170362,2212162,172253
"(0, 10)",135000,2017008,138828
"(0, 11)",118226,1825877,116596
"(0, 12)",98842,1639080,94763
"(0, 13)",79758,1456380,79965
"(0, 14)",67210,1277856,66202
"(0, 15)",57796,1103436,55044
"(0, 16)",26154,926390,24445
"(0, 17)",4878,485171,3062
"(0, 18)",3521,378945,3103
"(0, 19)",2598,276901,2913
"(0, 20)",1786,184294,1122
"(0, 21)",2087,54153,207
"(0, 22)",124056,32796,69948
"(-1, 1)",150903,5147815,378335
"(-1, 2)",79623,5228831,78450
"(-1, 3)",2982956,2628078,89061
"(-1, 4)",3434921,1959715,54549
"(-1, 5)",3519907,1682020,36762
"(-1, 6)",4309913,657660,24976
"(-1, 7)",6106530,531330,64848
"(-1, 8)",7064756,80931,78843
"(-1, 9)",6866151,59377,55164
"(-1, 10)",6738131,43188,42361
"(-1, 11)",6669488,33911,29986
"(-1, 12)",6607185,28643,24815
"(-1, 13)",6577809,20788,18256
"(-1, 14)",6563178,17898,14203
"(-1, 15)",6496725,12732,10835
"(-1, 16)",6003395,3714,4548
"(-1, 17)",4789964,564,614
"(-1, 18)",4754568,709,903
"(-1, 19)",4830775,395,1053
"(-1, 20)",4906169,357,440
"(-1, 21)",4333395,181,178
"(-1, 22)",4504353,2088,1044
